,fps,frame_end,frame_start,instance_id,signer_id,source,split,url,variation_id,video_id,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,gloss
567,25,-1,1,15,11,signingsavvy,test,https://www.signingsavvy.com/signs/mp4/7/7493.mp4,0,634,61,12,227,192,accident
555,25,-1,1,1,12,aslsearch,train,http://www.aslsearch.com/signs/videos/accident.mp4,0,639,180,45,574,400,accident
811,25,-1,1,17,41,aslsearch,val,http://www.aslsearch.com/signs/videos/africa.mp4,0,1398,236,33,493,400,africa
3938,25,-1,1,4,11,signingsavvy,val,https://www.signingsavvy.com/signs/mp4/9/9194.mp4,0,1560,43,3,212,192,ago
3939,25,-1,1,5,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/9/9196.mp4,0,1561,34,0,218,192,ago
3940,25,-1,1,8,12,aslsearch,train,http://www.aslsearch.com/signs/videos/ago.mp4,0,1564,179,48,556,399,ago
3051,25,-1,1,6,41,aslsearch,train,http://www.aslsearch.com/signs/videos/alone.mp4,0,2112,234,34,485,400,alone
3058,25,-1,1,3,12,aslsearch,train,http://www.aslsearch.com/signs/videos/appointment.mp4,0,3063,177,50,541,400,appointment
2346,25,-1,1,12,10,signingsavvy,test,https://www.signingsavvy.com/signs/mp4/22/22240.mp4,0,3278,63,22,221,192,argue
2347,25,-1,1,16,12,aslsearch,train,http://www.aslsearch.com/signs/videos/argue.mp4,0,3282,175,50,553,400,argue
3074,25,-1,1,14,12,aslsearch,test,http://www.aslsearch.com/signs/videos/australia.mp4,0,4198,173,49,561,400,australia
1368,25,-1,1,19,12,aslsearch,train,http://www.aslsearch.com/signs/videos/bad.mp4,0,4723,164,49,523,400,bad
1733,25,-1,1,10,41,aslsearch,val,http://www.aslsearch.com/signs/videos/balance.mp4,0,4806,205,38,503,400,balance
1377,25,-1,1,19,41,aslsearch,train,http://www.aslsearch.com/signs/videos/ball.mp4,0,4864,217,39,481,400,ball
5111,25,-1,1,8,12,aslsearch,test,http://www.aslsearch.com/signs/videos/barely.mp4,0,5074,164,51,565,400,barely
1075,25,-1,1,20,41,aslsearch,val,http://www.aslsearch.com/signs/videos/bar2.mp4,1,5102,189,37,559,400,bar
1066,25,-1,1,2,41,aslsearch,train,http://www.aslsearch.com/signs/videos/bar.mp4,0,5103,230,37,485,400,bar
1753,25,-1,1,14,41,aslsearch,train,http://www.aslsearch.com/signs/videos/beard.mp4,0,5479,235,40,502,400,beard
1764,25,-1,1,15,12,aslsearch,train,http://www.aslsearch.com/signs/videos/because.mp4,0,5609,145,52,538,400,because
50,25,-1,1,27,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/9/9194.mp4,0,5743,43,3,212,192,before
36,25,-1,1,9,12,aslsearch,train,http://www.aslsearch.com/signs/videos/before3.mp4,0,5749,167,52,512,400,before
37,25,-1,1,10,12,aslsearch,val,http://www.aslsearch.com/signs/videos/before.mp4,1,5750,171,52,513,400,before
586,25,-1,1,16,12,aslsearch,train,http://www.aslsearch.com/signs/videos/bird.mp4,0,6343,175,52,533,400,bird
1392,25,-1,1,14,12,aslsearch,train,http://www.aslsearch.com/signs/videos/blanket.mp4,0,6563,152,51,559,400,blanket
390,25,-1,1,17,11,signingsavvy,test,https://www.signingsavvy.com/signs/mp4/6/6345.mp4,0,7400,89,9,213,192,bowling
1082,25,-1,1,12,12,aslsearch,train,http://www.aslsearch.com/signs/videos/brother.mp4,0,7943,173,61,561,400,brother
4088,25,-1,1,6,12,aslsearch,train,http://www.aslsearch.com/signs/videos/california.mp4,0,8680,118,53,544,400,california
1408,25,-1,1,13,12,aslsearch,train,http://www.aslsearch.com/signs/videos/call.mp4,0,8713,162,51,538,400,call
92,25,-1,1,5,12,aslsearch,val,http://www.aslsearch.com/signs/videos/candy.mp4,1,8929,153,55,539,400,candy
2400,25,-1,1,19,41,aslsearch,train,http://www.aslsearch.com/signs/videos/catch.mp4,0,9473,219,44,478,400,catch
2413,25,-1,1,6,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/14/14281.mp4,0,9924,63,11,196,192,champion
2414,25,-1,1,8,12,aslsearch,train,http://www.aslsearch.com/signs/videos/champion.mp4,0,9926,168,54,541,400,champion
589,25,-1,1,2,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/5/5424.mp4,0,9966,48,11,215,192,change
590,25,-1,1,3,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/5/5425.mp4,0,9967,65,13,222,192,change
592,25,-1,1,7,12,aslsearch,train,http://www.aslsearch.com/signs/videos/change.mp4,0,9970,190,56,551,400,change
1805,25,-1,1,15,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/22/22579.mp4,0,10112,67,18,225,192,chat
1105,25,-1,1,16,12,aslsearch,train,http://www.aslsearch.com/signs/videos/check4.mp4,0,10197,181,55,532,400,check
1106,25,-1,1,18,12,aslsearch,train,http://www.aslsearch.com/signs/videos/check.mp4,1,10199,184,50,542,400,check
3182,25,-1,1,7,12,aslsearch,train,http://www.aslsearch.com/signs/videos/child.mp4,0,10453,130,54,550,400,child
1434,25,-1,1,17,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/7/7159.mp4,0,11635,79,16,221,192,cold
1424,25,-1,1,1,12,aslsearch,test,http://www.aslsearch.com/signs/videos/cold.mp4,0,11638,180,57,551,400,cold
34,25,-1,1,31,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/6/6012.mp4,2,12327,63,0,218,192,computer
21,25,-1,1,3,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/6/6326.mp4,1,12328,56,11,240,192,computer
24,25,-1,1,15,41,aslsearch,train,http://www.aslsearch.com/signs/videos/computer.mp4,1,12338,221,42,501,400,computer
1842,25,-1,1,16,12,aslsearch,test,http://www.aslsearch.com/signs/videos/convince.mp4,1,13148,134,54,536,400,convince
236,25,-1,1,8,12,aslsearch,train,http://www.aslsearch.com/signs/videos/cool.mp4,2,13217,161,50,520,400,cool
4184,25,-1,1,4,12,aslsearch,val,http://www.aslsearch.com/signs/videos/correct.mp4,1,13359,163,54,523,400,correct
1849,25,-1,1,12,12,aslsearch,test,http://www.aslsearch.com/signs/videos/country.mp4,0,13555,184,53,532,400,country
118,25,-1,1,22,41,aslsearch,train,http://www.aslsearch.com/signs/videos/cousin2.mp4,0,13646,174,36,487,400,cousin
106,25,-1,1,3,41,aslsearch,train,http://www.aslsearch.com/signs/videos/cousin3.mp4,0,13647,205,43,479,400,cousin
107,25,-1,1,4,41,aslsearch,train,http://www.aslsearch.com/signs/videos/cousin.mp4,0,13648,192,41,488,400,cousin
628,25,-1,1,17,41,aslsearch,test,http://www.aslsearch.com/signs/videos/cow.mp4,1,13710,193,43,481,400,cow
1859,25,-1,1,12,12,aslsearch,val,http://www.aslsearch.com/signs/videos/crash.mp4,1,13813,184,58,579,400,crash
1125,25,-1,1,18,12,aslsearch,train,http://www.aslsearch.com/signs/videos/cry2.mp4,0,14188,179,63,533,400,cry
1116,25,-1,1,1,12,aslsearch,test,http://www.aslsearch.com/signs/videos/cry.mp4,0,14190,182,64,535,400,cry
1461,25,-1,1,10,12,aslsearch,train,http://www.aslsearch.com/signs/videos/daughter.mp4,0,14760,183,61,534,400,daughter
1866,25,-1,1,11,12,aslsearch,val,http://www.aslsearch.com/signs/videos/day.mp4,0,14803,173,62,534,400,day
120,25,-1,1,9,12,aslsearch,val,http://www.aslsearch.com/signs/videos/deaf.mp4,0,14903,170,62,532,400,deaf
878,25,-1,1,15,41,aslsearch,val,http://www.aslsearch.com/signs/videos/decide.mp4,0,15043,200,44,539,400,decide
3228,25,-1,1,6,41,aslsearch,train,http://www.aslsearch.com/signs/videos/decorate.mp4,0,15103,192,46,580,400,decorate
2443,25,-1,1,5,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/6/6589.mp4,0,15328,78,14,216,192,delay
2445,25,-1,1,8,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/6/6929.mp4,0,15330,75,14,235,192,delay
2446,25,-1,1,10,12,aslsearch,test,http://www.aslsearch.com/signs/videos/delay.mp4,0,15332,197,62,548,400,delay
2458,25,-1,1,14,12,aslsearch,test,http://www.aslsearch.com/signs/videos/delicious.mp4,0,15374,191,64,533,400,delicious
3265,25,-1,1,2,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/14/14506.mp4,0,16897,84,13,214,192,dive
3267,25,-1,1,6,12,aslsearch,test,http://www.aslsearch.com/signs/videos/dive.mp4,1,16899,198,63,562,400,dive
11,25,-1,1,18,12,aslsearch,val,http://www.aslsearch.com/signs/videos/drink.mp4,0,17734,183,55,552,400,drink
1898,25,-1,1,10,12,aslsearch,val,http://www.aslsearch.com/signs/videos/drop.mp4,1,17832,180,64,545,400,drop
2508,25,-1,1,12,12,aslsearch,train,http://www.aslsearch.com/signs/videos/environment.mp4,0,19418,187,55,541,400,environment
1482,25,-1,1,7,10,signingsavvy,test,https://www.signingsavvy.com/signs/mp4/23/23562.mp4,1,21078,48,14,222,192,far
1485,25,-1,1,13,41,aslsearch,val,http://www.aslsearch.com/signs/videos/remote.mp4,0,21081,183,42,489,400,far
1912,25,-1,1,19,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/24/24241.mp4,0,21243,57,12,241,192,fat
1904,25,-1,1,6,12,aslsearch,val,http://www.aslsearch.com/signs/videos/obese.mp4,0,21252,150,52,601,400,fat
